Function,Required For Baseline,Baseline Candidate,Alternate Candidates,Interface/Type,Notes
Main MCU,Yes,STM32H743VIT6,"STM32H743IIT6; STM32F745; STM32F765; STM32F722; STM32F405","Arm Cortex-M MCU","H743 is recommended for firmware headroom and peripheral count."
IMU / gyro accel,Yes,BMI270,"ICM-42688-P; BMI323; ICM-45686","SPI 6-axis IMU","Selected IMU. Use SPI, short traces, local decoupling, dedicated interrupt."
Barometer,Yes,BMP390,"BMP581; BMP585; DPS310; MS5611","I2C or SPI pressure sensor","Selected barometer. Useful for INAV altitude hold and long-range builds."
Magnetometer,No,Not populated,"External GPS compass module; LIS2MDL; MMC5983MA; RM3100","I2C or SPI 3-axis magnetometer","No onboard magnetometer in selected design."
GNSS,No,Connector only,"u-blox NEO-M10S; u-blox SAM-M10Q; u-blox M9N; Quectel L76K; Quectel LC29H","UART GNSS module","No onboard GNSS. Provide JST for future external GPS."
Blackbox flash,Yes,W25Q128JV,"W25Q64JV; GD25Q128E; MX25L12835F","SPI NOR flash","8 MB to 16 MB typical; separate chip select."
Analog OSD,Yes,AT7456E,"MAX7456-compatible parts","SPI analog video OSD","Selected analog OSD for camera-to-VTX overlay."
Current sensing,Yes,ESC current output to ADC,"INA240; INA180; INA181; ACS758 module","ADC or current sense amplifier","ESC current output is simplest for Rev A."
5V regulator,Yes,6S-capable buck TBD,"TPS54360B; LM5164; AP63205 with margin review; other wide-input buck","Switching buck regulator","Selected architecture now includes onboard direct-battery buck. Verify full 6S input voltage and transient margin before schematic lock."
3.3V regulator,Yes,TLV755P33,"AP2112K-3.3; MIC5504-3.3; TPS7A20","Low-noise LDO","Feeds MCU and sensors from 5V rail."
USB ESD,Yes,TPD2EUSB30,"USBLC6-2SC6; PRTR5V0U2X","USB 2.0 ESD protector","Place close to USB-C connector."
CAN transceiver,Optional,Not populated,"TCAN332; SN65HVD230; MCP2562FD","CAN transceiver","Usually unnecessary for simple Betaflight/INAV FC."
Inverter / buffer,Optional,Not populated,"SN74LVC1G04; SN74LVC1G14; SN74LVC1T45","Logic inverter or level shifter","Useful for SBUS or level shifting."
USB connector,Yes,USB-C receptacle,"Mid-mount USB-C; top-mount USB-C","USB 2.0 device connector","Use 5.1k pulldowns on CC1/CC2 for device mode."
ESC connector,Yes,JST-SH 8-pin or 10-pin,"Solder pads; JST-GH","Board-to-board harness or pads","Signals: GND, VBAT, CURRENT, M1-M4, ESC telemetry, optional 5V."
Receiver connector,Yes,JST-SH 4-pin,"Solder pads","UART receiver port","Signals: 5V, GND, TX, RX for ELRS/CRSF."
GPS connector,Recommended,JST-SH 6-pin,"Solder pads; JST-GH","UART plus optional I2C","Connector only. Signals: 5V, GND, TX, RX, SDA, SCL."
VTX connector,Recommended,JST-SH 6-pin,"Solder pads; JST-GH","UART plus analog video","Signals: power, GND, TX, RX, VIDEO_OUT, optional VIDEO_IN or camera control."
